ticker,statement_type,report_level,fiscal_date,currency,account_name,amount,source_system,load_time
IBM,balance_sheet,quarterly,2018-03-31,USD,otherNonCurrentLiabilities,30852000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,totalShareholderEquity,18166000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,treasuryStock,-164334000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,retainedEarnings,156371000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,commonStock,54712000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,commonStockSharesOutstanding,925400000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,totalAssets,125356000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,totalCurrentAssets,49735000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,cashAndCashEquivalentsAtCarryingValue,11972000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,cashAndShortTermInvestments,11972000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,inventory,1583000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,currentNetReceivables,31630000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,totalNonCurrentAssets,75621000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,propertyPlantEquipment,11116000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,accumulatedDepreciationAmortizationPPE,-21215000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,intangibleAssets,3741000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,intangibleAssetsExcludingGoodwill,3741000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,goodwill,36788000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,longTermInvestments,14469000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,shortTermInvestments,608000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,otherCurrentAssets,3942000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,totalLiabilities,107631000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,totalCurrentLiabilities,37363000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,currentAccountsPayable,6451000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,shortTermDebt,6986000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,totalNonCurrentLiabilities,70268000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,longTermDebt,39837000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,currentLongTermDebt,5215000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,shortLongTermDebtTotal,46824000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,otherCurrentLiabilities,8155000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,otherNonCurrentLiabilities,26685000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,totalShareholderEquity,17594000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,treasuryStock,-163506000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,retainedEarnings,153126000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,commonStock,54566000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-12-31,USD,commonStockSharesOutstanding,928900000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,totalAssets,121636000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,totalCurrentAssets,44742000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,cashAndCashEquivalentsAtCarryingValue,10915000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,cashAndShortTermInvestments,10915000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,inventory,1711000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,currentNetReceivables,27126000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,totalNonCurrentAssets,76895000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,propertyPlantEquipment,11057000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,accumulatedDepreciationAmortizationPPE,-20880000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,intangibleAssets,3981000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,intangibleAssetsExcludingGoodwill,3981000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,goodwill,36782000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,longTermInvestments,13265000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,shortTermInvestments,600000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,otherCurrentAssets,4390000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,totalLiabilities,101879000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,totalCurrentLiabilities,31697000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,currentAccountsPayable,5442000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,shortTermDebt,4299000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,totalNonCurrentLiabilities,70182000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,longTermDebt,41327000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,currentLongTermDebt,45642000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,shortLongTermDebtTotal,45626000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,otherCurrentLiabilities,8269000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,otherNonCurrentLiabilities,25277000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,totalShareholderEquity,19627000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,treasuryStock,-162812000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,retainedEarnings,155565000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,commonStock,54395000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-09-30,USD,commonStockSharesOutstanding,933200000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,totalAssets,120495000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,totalCurrentAssets,45013000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,cashAndCashEquivalentsAtCarryingValue,11696000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,cashAndShortTermInvestments,11696000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,inventory,1604000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,currentNetReceivables,26958000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,totalNonCurrentAssets,75481000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,propertyPlantEquipment,10903000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,accumulatedDepreciationAmortizationPPE,-20388000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,intangibleAssets,4180000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,intangibleAssetsExcludingGoodwill,4180000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,goodwill,36517000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,longTermInvestments,13055000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,shortTermInvestments,599000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,otherCurrentAssets,4156000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,totalLiabilities,101951000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,totalCurrentLiabilities,35966000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,currentAccountsPayable,5126000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,shortTermDebt,8061000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,totalNonCurrentLiabilities,65985000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,longTermDebt,37612000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,currentLongTermDebt,45676000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,shortLongTermDebtTotal,45673000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,otherCurrentLiabilities,8459000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,otherNonCurrentLiabilities,24757000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,totalShareholderEquity,18419000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,treasuryStock,-161860000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,retainedEarnings,154234000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,commonStock,54235000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-06-30,USD,commonStockSharesOutstanding,939600000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,totalAssets,117495000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,totalCurrentAssets,42889000000.0,AlphaVantage,2026-04-17T15:16:06
